ID	German_Source	DeepL_Output	GlossWerk_Output	Human_Reference	Changed	Preferred (DeepL/GlossWerk/Equal)	GW_Used_Correct_Term (Yes/No/NA)	Edits_Needed_DeepL (0-5)	Edits_Needed_GlossWerk (0-5)	DE_Term (if terminology issue)	Wrong_MT_Term	Correct_EN_Term	Notes
12	Nach Ablauf der Spielzeit erfolgt ein elektrischer Impuls an die Elektromagnete 13, die dann die Feststeller 12 aus ihrer Funktionsstellung zurückziehen, wodurch sich der Blockierungsbalken 1 mit den Bolzen 7 aufgrund der Kraft der Druckfedern 4 in seine obere Endlage in Richtung der Stangen 2 bewegt.	After the play time has elapsed, an electrical impulse is sent to the electromagnets 13, which then pull the locking devices 12 back from their functional position, causing the locking bar 1 with the bolts 7 to move into its upper end position in the direction of the rods 2 due to the force of the compression springs 4.	After the play time has elapsed, an electrical pulse is transmitted to the electromagnets 13, which then pull the locking devices 12 back from their functional position, causing the locking rod 1 with the bolts 7 to move into its upper end position in the direction of the rods 2 due to the force of the compression springs 4 .	After the expiration of the playing time, an electrical pulse is given to the electromagnets 13 which then withdraw the fixing elements 12 from their functional position, which causes the locking beam 1 with the pins 7 to move into its upper stop position in the direction of the rods 2 because of the force exerted by the pressure springs 4.	Yes								
13	Zum Antrieb der Stellriemen sind diese um eine weitere Achse herumgeführt, um die auch ein Antriebsriemen herumgeführt ist, der seinerseits von einem Getriebemotor oder dergleichen angetrieben ist.	To drive the positioning belts, these are guided around a further axis, around which a drive belt is also guided, which in turn is driven by a geared motor or similar.	In order to drive the positioning belts, they are guided around a further axis, around which a drive belt is also guided, which in turn is driven by a geared motor or the like.	For driving the tensioning belts, these are guided about a further axis, about which also a drive belt is guided, which, in turn, is driven by a geared motor or the like.	Yes								
14	Die Fig. 3 zeigt ein zusammengesetztes Bauelement, bei dem der Dispersionsgrad mechanisch einstellbar ist.	Fig. 3 shows an assembled component in which the degree of dispersion is mechanically adjustable.	FIG. 3 shows an assembled component in which the degree of dispersion is mechanically adjustable.	FIG. 3 shows a composite component in which the dispersion can be adjusted mechanically.	Yes								
15	Die so vorbereiteten Gewebebahnen werden dann mit der Ätzreservedruckpaste bedruckt, die die oben beschriebenen Reservierungsmittel sowie die in Druckpasten für den Textildruck bekannten Zusatzstoffe, insbesondere Verdickungsmittel, enthält.	The fabric webs prepared in this way are then printed with the etching reserve printing paste, which contains the reserving agents described above as well as the additives known in printing pastes for textile printing, in particular thickening agents.	The webs of fabric prepared in this way are then printed with the etching reserve printing paste which contains the etching agents described above as well as the additives known for printing pastes for textile printing, in particular thickeners.	The fabric webs thus prepared are then printed with the discharge resist printing paste, which contains the resisting agents described above and the additives known in printing pastes for textile printing, in particular thickeners.	Yes								
16	Mit anderen Worten gesagt: Der Fördervorgang für den jeweiligen vorderen Endabschnitt 27 wird spurindividuell bei derjenigen Winkelposition Φ gestartet, bei der das Schneidmesser 7 während seiner Umlaufbewegung U die jeweilige Förderstrecke des jeweiligen vorderen Endabschnitts 27 gerade nicht mehr blockiert.	In other words, the conveying process for the respective front end section 27 is started track-specifically at the angular position Φ at which the cutting blade 7 is no longer blocking the respective conveying path of the respective front end section 27 during its orbital movement U.	In other words, the conveying process for the respective front end section 27 is started track-specifically at the angular position  at which the cutting blade 7 no longer blocks the respective conveying path of the respective front end section 27 during its rotary movement U.	In other words: The conveying process for the respective front end section 27 is started individually per track at that angular position Φ at which the cutting blade 7 just no longer blocks the respective conveying path of the respective front end section 27 during its revolution U.	Yes								
17	Ab einer bestimmten Drehzahl/Last wird das Ventil geöffnet, so daß der (leistungsbeeinflussende) Gegendruck der Abgasanlage bei höheren Drehzahlen/Lasten ein bestimmtes Maß nicht überschreitet.	Above a certain speed/load, the valve is opened so that the (performance-influencing) back pressure of the exhaust system does not exceed a certain level at higher speeds/loads.	Above a certain rotational speed/load, the valve is opened so that the (power-influencing) back pressure of the exhaust gas system does not exceed a certain level at higher rotational speeds/loads.	Starting from a given rpm/load, the valve is opened, so that the (power-affecting) counter-pressure of the exhaust gas device does not exceed a given value at higher rpms/loads.	Yes								
18	Bei der Projektionsvorrichtung zum Projizieren eines Bildes auf ein Bildfeld ist neben der Ablenkeinrichtung zusätzlich eine Modulationseinheit zum Modulieren der Intensität des Lichtstrahls abhängig von dem zu projizierenden Bild und dem Ort des Lichtstrahls auf dem Bildfeld vorgesehen.	In the projection device for projecting an image onto an image field, a modulation unit for modulating the intensity of the light beam depending on the image to be projected and the location of the light beam on the image field is provided in addition to the deflection device.	In the projection device for projecting an image onto an image field, a modulation unit for modulating the intensity of the light beam as a function of the image to be projected and the location of the light beam on the image field is provided in addition to the deflection device.	In the projection apparatus for projecting an image onto an image field, a modulation unit for modulating the intensity of the light beam in dependence on the image to be projected and on the location of the light beam on the image field is additionally provided beside the deflection device.	Yes								
19	Beim Aufladen der SIM-Karte, beispielsweise von einer für diesen Zweck eingerichteten Aufladekarte oder aber von einer Bankkreditkarte, werden die vorausbezahlten Zugangsdaten beispielsweise über den Provider 20 und den Server 16 an die SIM-Karte 12 übermittelt und dort im Speichermodul 11 abgespeichert.	When the SIM card is topped up, for example from a top-up card set up for this purpose or from a bank credit card, the prepaid access data is transmitted to the SIM card 12, for example via the provider 20 and the server 16, and stored there in the memory module 11.	When the SIM card is topped up, for example from a top-up card configured for this purpose or from a bank credit card, the prepaid access data is transmitted to the SIM card 12, for example via the provider 20 and the server 16, and stored there in the memory module 11 .	When loading the SIM card, for example, from a loading card set up for this purpose or from a bank credit card, the prepaid access data are transmitted, for example, via the provider 20 and the server 16 to the SIM card 12, are stored there in the memory module 11 .	Yes								
20	Dabei sind die einzelnen Halteelemente 14a bis 14d hier miteinander einteilig ausgebildet und aus Kunststoff gefertigt.	The individual retaining elements 14a to 14d are formed in one piece and made of plastic.	The individual holding elements 14 a to 14 d are formed in one piece and are made of plastic.	The individual holding elements 14 a to 14 d are here formed as one piece with each other and made of plastic.	Yes								
21	Perlpolymerisate mit einem mittleren Teilchendurchmesser von 0,5 bis 10 µm und enger Teilchendurchmesserverteilung mit K≤ 0,25, die 1 bis 60 Gew.-% chemisch gebundenes Fluor enthalten, eignen sich als Mattierungsmittel und Abstandshalter in fotografischen Aufzeichnungsmaterialien.	Bead polymers with an average particle diameter of 0.5 to 10 µm and a narrow particle diameter distribution with K≤ 0.25, which contain 1 to 60 % by weight of chemically bound fluorine, are suitable as matting agents and spacers in photographic recording materials.	Bead polymers having an average particle diameter of from 0.5 to 10 um and a narrow particle diameter distribution with K0.25, which contain from 1 to 60% by weight of chemically bound fluorine, are suitable as matting agents and spacers in photographic recording materials.	Bead polymers having an average particle diameter of from 0.5 to 10 um and a narrow particle diameter distribution of K≤0.25 and containing from 1 to 60% by weight of chemically bound fluorine are suitable for use as matting agents and spacers in photographic recording materials.	Yes								
22	Der Dämpfungsraum 36 ist darüber hinaus charakterisiert, daß er bis auf die Drossel 36 in sich im wesentlichen geschlossen ist, insbesondere über die Dichteinrichtung der Kolbenteile 68 in Richtung der Verjüngung 66 mit dem Pumpenanschluß P.	The damping chamber 36 is further characterized in that it is essentially closed in itself except for the throttle 36, in particular via the sealing device of the piston parts 68 in the direction of the taper 66 with the pump connection P.	The damping chamber 36 is further characterized in that it is closed essentially per se with the exception of the throttle 36, in particular via the sealing device of the piston parts 68 in the direction of the taper 66 with the pump connection P.	The damping space 36 is additionally characterized by the fact that this space, except for the throttle 38, is more or less closed, in particular by way of the sealing device of piston components 68 in the direction of the narrowing 66 toward the pump connection P.	Yes								
23	Gesteuert oder geregelt wird der Pedalwegmodulator 11 in Abhängigkeit vom Pedalweg des Bremspedals 5, der mit dem Wegsensor 6 gemessen wird.	The pedal travel modulator 11 is controlled or regulated depending on the pedal travel of the brake pedal 5, which is measured by the travel sensor 6.	The pedal travel modulator 11 is controlled or regulated as a function of the pedal travel of the brake pedal 5, which is measured by the travel sensor 6 .	The pedal travel modulator 11 is controlled or regulated as a function of the pedal travel of the brake pedal 5; this travel is measured by the travel sensor 6 .	Yes								
24	eine Seitenansicht des Schlosses nach Figur 2 im verriegelten Zustand,	a side view of the lock shown in Figure 2 in the locked state,	FIG. 3 shows a side view of the lock shown in FIG. 2 in the locked state,	FIG. 5 is a side view of the latch according to FIG. 2 in the locked state,	Yes								
25	Der entstandene Feststoff wurde abgesaugt. Das Hydrochlorid des unpolareren Diastereoisomers konnte so in einer Ausbeute von 420 mg als weißer Feststoff mit einem Smp. von 278-280 °C erhalten werden.	The resulting solid was extracted. The hydrochloride of the non-polar diastereoisomer could thus be obtained in a yield of 420 mg as a white solid with a Smp. of 278-280 °C.	The resulting solid was filtered off with suction and the hydrochloride of the nonpolar diastereoisomer could thus be obtained in a yield of 420 mg as a white solid having a melting point of 278°-280° C.	The resulting solid was filtered out with suction. It was possible to obtain the hydrochloride of the more non-polar diastereoisomer in this way in a yield of 420 mg as a white solid with a melting point of 278-280° C.	Yes								
26	Auch steht dergestalt Einbauraum zur Aufnahme einer Schwimmweste od. dgl. zur Verfügung.	There is also installation space available to accommodate a lifejacket or similar.	There is also installation space available for accommodating a life jacket or the like.	The installation space is also available in this way for holding a life vest or the like.	Yes								
27	Während sich der diaphysäre Abschnitt 4 des Schafts an der starken Knochenrinde der Diaphyse abstützen kann und dort eine primäre Verankerung bewirkt, liegt der metaphysäre Abschnitt hauptsächlich im spongiösen Knochengewebe der Metaphyse.	While the diaphyseal section 4 of the stem can be supported on the strong bone cortex of the diaphysis and provides primary anchorage there, the metaphyseal section lies mainly in the cancellous bone tissue of the metaphysis.	Whereas the diaphyseal section 4 of the stem can be supported on the strong bone cortex of the diaphysis and provides primary anchorage there, the metaphyseal section is essentially located in the cancellous bone tissue of the metaphysis.	Whereas the diaphyseal portion 4 of the shaft can bear on the strong cortical bone of the diaphysis and effect primary anchoring there, the metaphyseal portion lies mainly in the spongy bone tissue of the metaphysis.	Yes								
28	Werden zusätzlich von einem für Fahrbahnmarkierungen empfindlichen Sensor solche Fahrbahnmarkierungen erkannt, fließt diese Information vorteilhaft in die Parametrierung der Fahrspurparameter gemäß Modellvorstellung ein.	If such lane markings are also detected by a sensor sensitive to lane markings, this information flows advantageously into the parameterization of the lane parameters according to the model concept.	If such lane markings are also detected by a sensor sensitive to lane markings, this information advantageously flows into the parameterization of the lane parameters according to the model concept.	If such road markings are also recognized by a sensor that is sensitive to road markings, this information advantageously flows into the parameterization of the traffic lane parameters according to the model.	Yes								
29	Bevorzugt sind auch Farbstoffmischungen enthaltend die erfindungsgemäße Farbstoffmischung mit einer Mischungskomponente der Formel (II), worin	Also preferred are dye mixtures containing the dye mixture according to the invention with a mixture component of the formula (II) in which	Preference is also given to dye mixtures comprising the dye mixture according to the invention with a mixture component of the formula (II)	Dyestuff mixtures which are also preferred are those comprising the dyestuff mixture according to the invention with a mixture component of the formula (II) wherein	Yes								
30	Die Zylinderlaufbüchse 110 ist nicht massstäblich und nur sehr schematisch dargestellt.	The cylinder liner 110 is not to scale and is only shown very schematically.	The cylinder liner 110 is not to scale and is shown only very schematically.	The cylinder liner 110 is not to scale and is only shown very schematically.	Yes								
31	Vorteilhaft an den 100 %-Systemen ist, daß bei ihnen verfahrenstechnisch ein Entfernen der Trägermatrix, d.h. der Hilfsmittel, vermieden wird, wodurch sich die Verarbeitungsproduktivität steigert und sich gleichzeitig der Maschinen- und Energieaufwand reduziert.	The advantage of the 100 % systems is that they do not require the removal of the carrier matrix, i.e. the auxiliaries, which increases processing productivity and at the same time reduces machine and energy consumption.	The advantage of the 100% systems is that they do not require the removal of the carrier matrix, i.e. the auxiliaries, which increases the processing productivity and at the same time reduces the machine and energy consumption.	An advantage of the 100% systems is that they avoid an operation of removal of the carrier matrix, i.e. the auxiliary media, thereby raising the productivity of processing and at the same time reducing the expenditure on machinery and the energy costs.	Yes								
32	Nach Trocknen über Natriumsulfat und Eindampfen erhält man 2,1 g (70 % d.Th.) eines schwach gelben Öls.	After drying over sodium sulfate and evaporation, 2.1 g (70 % by weight) of a pale yellow oil is obtained.	After drying over sodium sulphate and evaporation, 2.1 g (70% by weight) of a pale yellow oil are obtained.	Drying over sodium sulphate and evaporation result in 2.1 g (70% of theory) of a pale yellow oil.	Yes								
33	Fig. 7 einen Schnitt durch den Druckwellenlader entlang der Schnittlinie A-A gemäß Figur 6;	Fig. 7 a section through the pressure wave loader along section line A-A as shown in Figure 6;	FIG. 7 shows a section through the pressure wave loader along section line A-A as shown in FIG. 6;	FIG. 7 shows a section through the pressure wave supercharger along section line A-A shown in FIG. 6;	Yes								
34	10 zeigt den normierten Verlauf der chromatischen Längsabweichung (CHL) für ein Objektiv E erster Art (Achromat mit Abbildungsmaßstab 10x, Apertur 0,22, Ausgangsschnittweite 160 mm), dessen Zwischenbild einen Farbvergrößerungsfehler (CHV) von 1,4% besitzt.	10 shows the normalized course of the longitudinal chromatic aberration (CHL) for an objective E of the first type (achromat with magnification 10x, aperture 0.22, initial focal length 160 mm), whose intermediate image has a chromatic aberration (CHV) of 1.4%.	10 shows the normalized course of the longitudinal chromatic aberration (CHL) for an objective E of the first type (achromatic with magnification 10, aperture 0.22, initial focal length 160 mm), the intermediate image of which has a chromatic aberration (CHV) of 1.4%.	10 shows the normalized course of the longitudinal chromatic deviation (CHL) for an objective E of the first type (achromatic objective with linear magnification of 10×, aperture 0.22, exit vertex focal length 160 mm), whose intermediate image has a chromatic difference in magnification (CHV) of 1.4%.	Yes								
35	Auch das Kohlenstoffmaterial der Sensoren wird dabei teilweise mitsiliciert und teilweise zu SiC umgesetzt.	The carbon material of the sensors is also partially silicified and partially converted to SiC.	The carbon material of the sensors is also partially silicified and partially converted to SiC.	The carbon material of the sensors is partially subjected to siliconization at the same time and partially converted into SiC.	No								
36	Die okklusale Erhöhung 14 stellt beispielsweise eine Bisserhöhung im Bereich von 0,5 bis 2 mm pro Kiefer 10, 11 ein.	For example, the occlusal elevation 14 provides a bite elevation in the range of 0.5 to 2 mm per jaw 10, 11.	For example, the occlusal elevation 14 provides a bite elevation in the range from 0.5 to 2 mm per jaw 10, 11 .	The occlusal elevation 14 sets, for example, a bite elevation in the range of 0.5 to 2 mm per jaw 10, 11 .	Yes								
37	Enthalten die Mittel jedoch zusätzlich Entwickler, Kuppler und/oder Oxidationsmittel, so werden die Keratinfasern - bedingt durch das zusätzlich enthaltene Oxidationsmittel - zusätzlich aufgehellt.	However, if the products also contain developers, couplers and/or oxidizing agents, the keratin fibres are additionally lightened due to the additional oxidizing agent.	However, if the compositions also contain developers, couplers and/or oxidizing agents, the keratin fibers are additionally lightened by the additional oxidizing agent.	However, if the agents additionally contain developer, coupler, and/or oxidizing agent, the keratin fibers are also lightened due to the oxidizing agent that is additionally contained.	Yes								
38	Mit der Erzeugung des Übertrages beim Zähler C des Systems X wird außerdem über die zweite Gatteranordnung G2 am Eingang CTS des seriellen Interfacebausteins IF ein die Verfügbarkeit des Datenleiters SB-DATA anzeigender Signalwechsel hervorgerufen.	When the transfer is generated at counter C of system X, a signal change indicating the availability of the SB-DATA data conductor is also generated via the second gate arrangement G2 at input CTS of the serial interface module IF.	When the transfer is generated at the counter C of the system X, a signal change indicating the availability of the data conductor SB-DATA is also generated via the second gate arrangement G 2 at the input CTS of the serial interface module IF.	With the generation of the overflow or carry signal RC at the counter C of the microcomputer system X there is additionally produced by means of the second gate arrangement G2 at the input CTS of the serial interface component IF a signal change which is indicative of th availability of the data line SB-DATA.	Yes								
39	Dadurch wird zwischen dem Deckelsubstrat 116 und dem Bodensubstrat 118 ein elektrisches Feld ausgebildet.	This creates an electric field between the cover substrate 116 and the base substrate 118.	As a result, an electric field is generated between the cover substrate 116 and the base substrate 118 .	This forms an electric field between the lid substrate 116 and the bottom substrate 118 .	Yes								
40	Die konzentrierte Salpetersäure 15 am Boden des Autoklaven 1 konnte deshalb nur auf Siedetemperatur bei Normaldruck (etwa auf 120°C) aufgeheizt werden, und die auf das PuO₂-Pulver fallenden Tropfen 17 aus frischem Salpetersäurekondensat hatten dementsprechend nur eine Temperatur unterhalb dieser Siedetemperatur.	The concentrated nitric acid 15 at the bottom of the autoclave 1 could therefore only be heated to boiling temperature at normal pressure (approximately 120°C), and the drops 17 of fresh nitric acid condensate falling onto the PuO₂ powder therefore only had a temperature below this boiling temperature.	The concentrated nitric acid 15 at the bottom of the autoclave 1 could therefore only be heated to the boiling point under normal pressure (approximately 120° C.), and the droplets 17 of fresh nitric acid condensate falling onto the PuO2 powder therefore had only a temperature below this boiling point.	The concentrated nitric acid 15 at the bottom of the autoclave 1 therefore could only be heated to boiling at normal pressure (approximately to 120° C.), and the drops 17 of fresh nitric acid condensate falling on the powdered PuO2 accordingly only had a temperature below the boiling point.	Yes								
41	Fig. 5 einen weiteren Teil der Fixiereinrichtung und	Fig. 5 a further part of the fixing device and	FIG. 5 shows a further part of the fastening device and	FIG. 5 a further part of the fixing means and	Yes								
42	Letztere läuft auf einer Schiene 19.	The latter runs on a rail 19.	The latter runs on a rail 19 .	The carriage travels on a rail 19.	Yes								
43	Verfahren nach Anspruch 12, dadurch gekennzeichnet, dass Schritt (b) die Einführung von mindestens einer Gruppe SO 3 H oder SO 3 M in Ar' umfasst, wobei M ein Kation ist.	The process according to claim 12, characterized in that step (b) comprises the introduction of at least one group SO 3 H or SO 3 M into Ar', wherein M is a cation.	The process according to claim 12, characterized in that step b) comprises introducing at least one group SO 3 H or SO 3 M into Ar′, wherein M is a cation.	The process as claimed in claim 10, wherein step (b) comprises the introduction of at least one SO 3 H or SO 3 M group into Ar′, wherein M is a cation.	Yes								
44	So ist zwar die Anzahl der Kraftstöße erhöht (bei zwei Scharen verdoppelt, bei dreien verdreifacht und so weiter), ihr jeweiliger Betrag aber ist gesenkt.	Although the number of power surges is increased (doubled for two sets, tripled for three sets and so on), the respective amount is reduced.	Although the number of power surges is increased (doubled for two sets, tripled for three sets, etc.), the respective amount is reduced.	Thus, although the number of impulses is increased (doubled in the case of two families, trebled in the case of three, and so on), their respective amount is lowered.	Yes								
45	Zur hochohmigen Isolation der beiden Stromleitschienen befindet sich mindestens eine elektrische Isolationsschicht 4, 5 zwischen den in einem Abschnitt mit einer lotfähigen Schicht 6, 7 beschichteten Stromleitschienen.	For high-impedance insulation of the two conductor rails, there is at least one electrical insulation layer 4, 5 between the conductor rails coated in one section with a solderable layer 6, 7.	For high-impedance insulation of the two conductor tracks, there is at least one electrical insulation layer 4, 5 between the conductor tracks, which is coated in one section with a solderable layer 6, 7 .	For high-impedance insulation of the two busbars or busbar tracks, at least one electrical insulation layer 4, 5 is located between the busbar tracks, a portion of which is coated with a solderable layer 6, 7 .	Yes								
46	Gemäß weiterer Ausführungsformen der Erfindung ist der Signalgeber als optischer Sensor, oder als Mikroschalter ausgeführt.	According to further embodiments of the invention, the signal transmitter is designed as an optical sensor or as a microswitch.	According to further embodiments of the invention, the signal transmitter is designed as an optical sensor or as a microswitch.	According to other embodiments of the present invention, the signal transmitter is designed as an optical sensor or as a microswitch.	No								
47	die Komponente g) mindestens eine Verbindung der Formel (VIII) ist,	component g) is at least one compound of the formula (VIII),	component g) is at least one compound of the formula (VIII),	component g) is at least one compound of the formula (VIII)	No								
48	Das Nenndrehmoment der Rutschkupplung 60, bei dem die Rutschkupplung 60 auslöst, wird mit der gewünschten Seillänge des Zugseils 48 beim Einfahren der Funkantenne 10 abgestimmt.	The nominal torque of the slipping clutch 60, at which the slipping clutch 60 is triggered, is coordinated with the desired cable length of the pull cable 48 when the radio antenna 10 is retracted.	The nominal torque of the slip clutch 60 at which the slip clutch 60 is triggered is coordinated with the desired cable length of the pull cable 48 when the radio antenna 10 is retracted.	The nominal torque of the friction clutch 60, with which the friction clutch 60 is triggered, is calibrated using the desired cable length of the pulling cable 48 on retracting the radio antenna 10 .	Yes								
49	Der zweite Teil des Gehäuses weist hierbei vorzugsweise die Kolbenkammer auf.	The second part of the housing preferably has the piston chamber.	The second housing part preferably has the piston chamber.	The second portion of the housing in that case preferably has the piston chamber.	Yes								
50	Bauteile oder Elemente der erfindungsgemäßen Wafer, Trägereinheiten und Vorrichtungen, welche in den Figuren wenigstens im Wesentlichen hinsichtlich ihrer Funktion übereinstimmen, können hierbei mit gleichen Bezugszeichen gekennzeichnet sein, wobei diese Bauteile oder Elemente nicht in allen Figuren beziffert oder erläutert sein müssen.	Components or elements of the wafers, carrier units and devices according to the invention, which at least essentially correspond in the figures with regard to their function, can be marked with the same reference signs, whereby these components or elements do not have to be numbered or explained in all figures.	Components or elements of the wafers, carrier units and devices according to the invention, which at least substantially correspond in the figures with respect to their function, can be provided with the same reference numerals, wherein these components or elements do not have to be numbered or explained in all the figures.	Components or elements of the wafers, carrier units and devices according to the invention which correspond at least substantially with regard to their function in the figures can be identified here by the same reference signs, these components or elements not necessarily having to being numbered or illustrated in all of the figures.	Yes								
51	10 kann sowohl in der Funkbake 2 als auch in der OBU 11 realisiert werden und beruht auf einer Auswertung der Empfangssignalstärke (received signal strength) des Signals 10, das in der Funkbake 2 bzw. OBU 11 vom jeweils anderen Kommunikationspartner empfangen wird.	10 can be implemented both in the radio beacon 2 and in the OBU 11 and is based on an evaluation of the received signal strength of the signal 10 that is received in the radio beacon 2 or OBU 11 from the respective other communication partner.	10 can be implemented both in the radio beacon 2 and in the OBU 11 and is based on an evaluation of the received signal strength of the signal 10 received by the respective other communication partner in the radio beacon 2 or in the OBU 11 .	10 can be performed both in the radio beacon 2 and in the onboard unit 11 and is based on an evaluation of the received signal strength of the signal 10 that is received in the radio beacon 2 or OBU 11 from the respective other communication partner.	Yes								
